2026-04-29 11:25:33 | INFO     | src/logging_config.py:153 | 日志系统初始化完成，日志目录: logs
2026-04-29 11:25:33 | INFO     | src/logging_config.py:154 | 常规日志: logs/stock_analysis_20260429.log
2026-04-29 11:25:33 | INFO     | src/logging_config.py:155 | 调试日志: logs/stock_analysis_debug_20260429.log
2026-04-29 11:25:33 | INFO     | main.py:741 | ============================================================
2026-04-29 11:25:33 | INFO     | main.py:742 | A股自选股智能分析系统 启动
2026-04-29 11:25:33 | INFO     | main.py:743 | 运行时间: 2026-04-29 11:25:33
2026-04-29 11:25:33 | INFO     | main.py:744 | ============================================================
2026-04-29 11:25:33 | WARNING  | main.py:749 | 未配置 Tushare Token，将使用其他数据源
2026-04-29 11:25:33 | WARNING  | main.py:749 | 未配置通知渠道，将不发送推送通知
2026-04-29 11:25:33 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | connect_tcp.started host='raw.githubusercontent.com' port=443 local_address=None timeout=5 socket_options=None
2026-04-29 11:25:33 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7f7d73ff5d10>
2026-04-29 11:25:33 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | start_tls.started ssl_context=<ssl.SSLContext object at 0x7f7d73ffc0e0> server_hostname='raw.githubusercontent.com' timeout=5
2026-04-29 11:25:33 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7f7d73ff5cd0>
2026-04-29 11:25:33 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | send_request_headers.started request=<Request [b'GET']>
2026-04-29 11:25:33 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | send_request_headers.complete
2026-04-29 11:25:33 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | send_request_body.started request=<Request [b'GET']>
2026-04-29 11:25:33 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | send_request_body.complete
2026-04-29 11:25:33 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | receive_response_headers.started request=<Request [b'GET']>
